,genres,artist_name,name,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,cluster
127615,Classical,Bedřich Smetana,Má Vlast (My Fatherland): Vltava (The Moldau River),33,0.846,0.193,11.446666666666667,0.239,0.792,0.111,-14.418,0.0332,78.5,0.0548,3
3061,Alternative,Blood Orange,Seven Hours Part 1,54,0.136,0.729,2.6784666666666666,0.842,0.0,0.37,-5.566,0.25,99.159,0.789,5
23831,Electronic,Zomboy,Young & Dangerous,44,0.00584,0.667,4.426666666666667,0.969,0.112,0.676,-0.714,0.106,150.01,0.278,7
160863,Reggaeton,Wisin,Dime Qué Sucedió,39,0.114,0.827,4.175783333333333,0.796,0.0,0.0483,-3.959,0.244,90.0,0.743,5
108363,Pop,Mariah Carey,We Belong Together,72,0.0358,0.838,3.3566666666666665,0.469,0.0,0.0928,-7.992,0.0835,139.975,0.778,1
444,Movie,Joseph Williams,Maybe I'm Amazed,5,0.871,0.639,4.086883333333334,0.381,0.0,0.153,-8.59,0.0311,80.009,0.129,9
53929,R&B,Beyoncé,XO,66,0.171,0.47,3.5991166666666667,0.792,1.28e-06,0.313,-8.932,0.26,170.085,0.214,6
95706,Indie,The Strokes,Machu Picchu,63,0.0133,0.695,3.4937833333333335,0.814,0.0984,0.0601,-5.294,0.066,105.011,0.882,5
125124,Classical,Howard Shore,The Globe Newsroom,46,0.982,0.358,2.0483333333333333,0.0181,0.957,0.0926,-30.088,0.0449,105.836,0.0508,3
84369,R&B,Eric Bellinger,Valentine,43,0.0264,0.654,3.2008666666666667,0.607,0.0,0.146,-7.191,0.0556,120.003,0.592,5
80352,Opera,Adolphe Adam,Giselle: Andante,14,0.953,0.297,4.156666666666666,0.0119,0.249,0.158,-29.03,0.0431,121.582,0.075,9
129521,Classical,André Previn,Servants' Chorus* - Voice,26,0.935,0.648,1.40555,0.0833,0.0,0.2,-18.338,0.0507,54.164,0.468,9
4753,Alternative,Red Hot Chili Peppers,I Could Have Lied,57,0.0132,0.56,4.073333333333333,0.209,0.551,0.342,-13.591,0.039,140.744,0.407,0
69464,Hip-Hop,Kendrick Lamar,The Art of Peer Pressure,58,0.286,0.555,5.408883333333334,0.611,0.00106,0.273,-9.216,0.356,94.939,0.411,1
19944,Dance,Borgeous,Switchblade,54,0.00559,0.599,3.16275,0.756,0.000393,0.138,-6.38,0.0358,94.041,0.397,1
133162,Reggae,77 Jefferson,These Days (feat. Josh Heinrichs),32,0.32,0.865,5.608,0.52,1.35e-06,0.106,-9.738,0.158,147.953,0.906,5
199602,Soundtrack,John Powell,The Kennedys,37,0.664,0.18,1.1277833333333334,0.166,0.723,0.112,-21.972,0.0437,71.128,0.0916,3
123116,Reggae,Sons Of Zion,Stuck on Stupid,53,0.0171,0.833,3.490883333333333,0.481,0.0,0.0843,-8.17,0.264,78.029,0.822,5
163835,Reggaeton,Olga Tanon,Bandolero,21,0.378,0.706,4.51045,0.904,0.0,0.159,-4.794,0.0968,98.088,0.777,5
24744,Electronic,Flux Pavilion,International Anthem,40,0.00183,0.577,3.94855,0.919,0.000544,0.09,-1.748,0.0353,149.938,0.436,6
182213,Movie,Irwin Kostal,Grand Waltz,40,0.67,0.399,2.336,0.218,0.488,0.0947,-10.718,0.0279,186.455,0.66,2
4962,Alternative,Metronomy,The Look,66,0.623,0.638,4.62755,0.535,0.0391,0.0837,-7.792,0.0415,84.947,0.504,2
177102,Jazz,Asha Puthli,Space Talk,39,0.142,0.638,5.622,0.432,0.019,0.213,-17.345,0.0754,98.932,0.693,5
31904,Anime,ITOWOKASHI,さいごまで,25,0.0414,0.399,4.59245,0.817,0.0,0.264,-2.928,0.0458,184.018,0.659,6
95617,Indie,Ryan Adams,Wonderwall,64,0.828,0.321,4.138,0.22,0.00398,0.0873,-12.608,0.0352,157.04,0.301,2
131718,Reggae,Damian Marley,Everybody Wants To Be Somebody,44,0.0101,0.798,3.6691166666666666,0.776,0.0,0.118,-4.225,0.0283,130.975,0.816,5
120686,Rap,Future,Three,53,0.00841,0.725,2.6566666666666667,0.692,0.0,0.0912,-5.742,0.257,169.025,0.298,6
210758,World,Maranatha! Music,Change My Heart Oh God,41,0.856,0.496,2.58355,0.133,0.00065,0.168,-16.079,0.0308,79.827,0.186,9
70820,Hip-Hop,Yella Beezy,Up One (Remix) (feat. Lil Baby),56,0.00742,0.955,4.733216666666666,0.468,4.6e-05,0.104,-9.835,0.484,129.921,0.304,1
13086,Alternative,New Order,Sub-Culture - Live at MIF,30,0.0424,0.572,6.753116666666667,0.925,0.0106,0.93,-7.645,0.0492,124.997,0.405,7
77134,Children’s Music,H.E.R.,Losing,70,0.357,0.44,3.7628833333333334,0.31,0.000363,0.108,-13.487,0.259,172.672,0.149,2
85219,R&B,John Legend,Give Love on Christmas Day - Recorded at Spotify Studios NYC - Spotify Singles - Christmas,49,0.924,0.614,3.7596,0.218,0.0,0.111,-9.643,0.0343,140.013,0.357,2
192426,Soul,Anthony Hamilton,The Point Of It All,59,0.731,0.672,3.8373333333333335,0.457,2.03e-06,0.118,-6.716,0.0781,117.836,0.403,2
45489,Anime,Falcom Sound Team jdk,Sword of Biting Gale,11,0.0372,0.502,2.608,0.978,0.563,0.258,-4.528,0.15,102.072,0.413,0
219000,World,Paul Baloche,Oh Our Lord,30,0.441,0.528,5.26245,0.773,0.0,0.296,-7.132,0.0587,114.047,0.308,6
125422,Classical,Wolfgang Amadeus Mozart,"Piano Concerto No. 6 in B-Flat Major, K. 238: II. Andante un poco adagio",35,0.987,0.193,6.024883333333333,0.0158,0.902,0.121,-32.022,0.0441,78.159,0.164,3
123552,Classical,Antonio Vivaldi,"The Four Seasons - Violin Concerto in G Minor, RV 315, ""L'estate"" (Summer): I. Allegro non molto",52,0.756,0.312,5.429783333333333,0.126,0.0166,0.095,-19.108,0.0452,141.565,0.068,9
202784,Soundtrack,John Murphy,How to Leave Your Body,36,0.00647,0.244,6.27845,0.537,0.904,0.438,-8.001,0.0381,102.165,0.0337,0
29358,Anime,Nobuo Uematsu,Never Look Back,30,0.00886,0.644,3.3911166666666666,0.527,0.901,0.115,-13.16,0.0302,125.012,0.459,0
100564,Children’s Music,Lucky Daye,Concentrate,51,0.65,0.82,3.60245,0.415,7.55e-05,0.144,-8.163,0.0667,115.544,0.571,2
135599,Reggae,Bob Marley & The Wailers,Trenchtown Rock - Live At The Roxy Theatre,28,0.527,0.714,4.7596,0.509,0.0,0.949,-8.3,0.12,134.497,0.781,7
204354,Soundtrack,Trevor Morris,A Howling Wilderness / The Death Of Jane Seymour,32,0.754,0.22,2.7602166666666665,0.189,0.983,0.0723,-13.261,0.0418,57.756,0.0348,3
145708,Jazz,Bluestaeb,Lost My Phone,59,0.189,0.666,2.034483333333333,0.416,0.0449,0.385,-15.729,0.0426,113.035,0.274,2
15452,Dance,Tori Kelly,Change Your Mind,62,0.0108,0.655,2.958,0.404,0.0,0.114,-6.708,0.0354,106.839,0.252,1
209867,World,Michael W. Smith,Ancient Words,39,0.752,0.235,4.601116666666667,0.208,0.0,0.947,-14.046,0.0317,144.471,0.226,7
100815,Children’s Music,New Medicine,Boy Like Me,46,0.0044,0.322,3.6722166666666665,0.854,0.0,0.277,-5.782,0.0774,122.04,0.574,6
129950,Classical,Nick Johnston,A Sick and Injured Brain,31,0.702,0.286,9.516883333333332,0.44,0.753,0.172,-8.98,0.0302,50.611,0.0394,3
220650,World,Passion,Center - Live,27,0.277,0.449,5.69045,0.467,0.0,0.43,-10.757,0.026,95.878,0.178,2
191863,Ska,Propagandhi,Status Update - 2019 Remaster,23,1.47e-05,0.349,1.084,0.995,0.0142,0.294,-2.97,0.183,182.342,0.406,6
190168,Ska,The Pietasters,Quicksand,14,0.00297,0.723,2.7677833333333335,0.812,0.0,0.308,-5.804,0.0424,141.527,0.862,5
188602,Ska,Long Beach Dub Allstars,Marshall Loop Dub (Live),18,0.34,0.489,3.5712333333333333,0.688,0.382,0.645,-6.307,0.188,85.927,0.439,7
138722,Reggae,The Expendables,Minimum Wage (Acoustic),20,0.877,0.578,4.588,0.254,0.0033,0.139,-12.17,0.027,137.981,0.236,9
195020,Movie,Audra McDonald,"""I Was Singin' with Artie's Band...""",4,0.774,0.642,7.4,0.311,0.0,0.5,-14.32,0.947,92.548,0.492,4
191354,Ska,Reel Big Fish,Boyfriend,13,0.00897,0.308,3.8282166666666666,0.664,5.14e-06,0.112,-8.568,0.0338,102.93,0.484,6
157242,Ska,Me First and the Gimme Gimmes,City of New Orleans,44,6.24e-05,0.39,3.066883333333333,0.952,0.0001,0.316,-4.888,0.0748,96.013,0.556,6
27833,Anime,Mili,world.execute(me);,45,0.00453,0.522,3.5318833333333335,0.817,0.652,0.393,-6.172,0.0461,129.971,0.548,0
177004,Jazz,Cris Delanno,Isn´t She Lovely (Bossa Version),54,0.948,0.765,3.3773,0.303,0.0146,0.0982,-15.028,0.0356,133.023,0.707,2
21827,Dance,Cher,Waterloo,50,0.0192,0.538,2.8813333333333335,0.902,0.0,0.151,-3.718,0.0301,147.033,0.826,6
28075,Anime,Nobuo Uematsu,Battle 2,41,0.000498,0.291,1.2193333333333334,0.583,0.94,0.339,-9.116,0.0339,172.04,0.461,0
134487,Reggae,SOJA,Nuclear Bomb,38,0.064,0.706,4.953783333333333,0.606,0.0,0.111,-7.647,0.0862,135.711,0.752,5
17429,Dance,Deerhunter,Revival,61,0.0263,0.655,2.2277833333333334,0.805,0.00542,0.28,-6.493,0.0335,119.029,0.701,5
143167,Indie,The Mowgli's,Alone Sometimes,49,0.115,0.507,2.7790666666666666,0.895,0.0,0.111,-5.348,0.0545,79.046,0.748,5
206013,Soundtrack,Hans Zimmer,Intimidation Game,31,0.791,0.253,2.79755,0.105,0.816,0.114,-26.896,0.0321,92.215,0.0366,3
165472,Reggaeton,A.Cinco,Ya No Quiero Estar Solo,21,0.318,0.634,4.56,0.538,0.0,0.139,-8.104,0.0337,129.977,0.46,5
218417,World,Nils Frahm,Re,36,0.993,0.458,3.8354166666666667,0.0743,0.91,0.103,-24.145,0.0532,108.93,0.232,3
112829,Pop,Shakira,She Wolf,64,0.289,0.865,3.1477833333333334,0.69,0.0138,0.225,-7.448,0.0444,121.983,0.868,5
176374,Jazz,Blossom Dearie,Somebody New,39,0.858,0.676,2.9453,0.438,0.0534,0.112,-14.717,0.0344,110.48,0.656,2
143767,Indie,Max Frost,Eleven Days,46,0.034,0.692,3.7866666666666666,0.693,0.0,0.11,-4.862,0.0812,128.081,0.183,1
145307,Indie,MercyMe,Shake,47,0.00121,0.484,3.2306666666666666,0.961,7.15e-06,0.099,-0.67,0.158,171.954,0.839,6
15385,Dance,The-Dream,Rockin' That Sh**,64,0.127,0.676,3.6986666666666665,0.634,0.0,0.371,-4.906,0.0445,77.961,0.623,1
115321,Rap,Mike Sherm,Hot Nigga,62,0.0998,0.86,1.6015833333333334,0.553,0.056,0.264,-9.096,0.0665,106.985,0.131,1
98175,Children’s Music,Chris Tomlin,Holy Roar,56,0.00244,0.444,4.198883333333334,0.829,0.0,0.0695,-4.997,0.0455,156.146,0.337,6
145248,Indie,Camera Obscura,"Lloyd, I'm Ready To Be Heartbroken",51,0.00878,0.329,3.8526666666666665,0.857,0.0725,0.156,-3.681,0.0496,143.482,0.476,6
175850,Comedy,John Heffron,Not dog chow,11,0.783,0.517,1.6622833333333333,0.844,0.0,0.96,-10.133,0.892,95.095,0.486,4
188509,Ska,Dead Kennedys,Gaslight,26,0.215,0.445,2.6837833333333334,0.966,9.04e-05,0.682,-4.22,0.0999,133.362,0.451,7
56905,R&B,SG Lewis,No Less,53,0.255,0.525,4.061833333333333,0.278,1.57e-06,0.64,-13.614,0.123,91.809,0.166,7
111576,Pop,Meghan Trainor,All About That Bass,68,0.0476,0.811,3.1459,0.879,1.91e-06,0.109,-3.724,0.0514,134.064,0.962,5
140750,Indie,Small Black,Sun Was High (So Was I),54,0.0123,0.505,3.8613333333333335,0.882,0.462,0.255,-6.051,0.0405,112.983,0.37,1
231169,Soul,Allie X,Science,46,0.00173,0.575,3.9313333333333333,0.81,1.08e-06,0.203,-4.381,0.0383,159.937,0.501,6
23748,Electronic,Hucci,Vision,44,0.0521,0.697,4.493933333333334,0.339,0.435,0.1,-13.089,0.0392,117.505,0.189,0
60437,R&B,Akon,Troublemaker,49,0.148,0.858,3.9528833333333333,0.789,0.0,0.495,-4.193,0.112,122.069,0.817,5
156661,Ska,The Paragons,The Tide Is High - Stereo Version,54,0.241,0.451,2.69955,0.433,0.0,0.472,-9.189,0.0291,96.287,0.832,7
130449,Classical,Ludwig van Beethoven,"Piano Sonata No.8 in C Minor, Op.13 -""Pathétique"": 2. Adagio cantabile",22,0.994,0.234,7.10755,0.00243,0.873,0.0679,-37.374,0.0525,71.999,0.0945,3
218316,World,Hillsong Chapel,You'll Come,26,0.188,0.365,4.920633333333333,0.694,0.000852,0.179,-7.546,0.0533,159.785,0.356,6
229573,Soul,The Three Degrees,When Will I See You Again,50,0.576,0.542,2.9682833333333334,0.595,0.00556,0.344,-10.944,0.0337,120.645,0.777,5
152010,Pop,O.T. Genasis,CoCo,65,0.00215,0.886,3.9929,0.628,1.15e-05,0.31,-5.949,0.131,119.906,0.178,1
211624,Comedy,Jim Jefferies,Afghanistan (Jfl 2010),15,0.826,0.491,4.3912,0.632,0.0,0.729,-14.136,0.899,76.463,0.348,4
181049,Jazz,Wax Tailor,The Road Is Ruff,42,0.602,0.768,3.767,0.674,0.053,0.277,-5.816,0.0364,85.978,0.664,5
206135,Soundtrack,Ilan Eshkeri,Snowdrop,23,0.916,0.0753,2.775333333333333,0.125,0.0837,0.182,-18.68,0.0474,68.673,0.0375,9
58150,Opera,Anne Sofie von Otter,Like An Angel,36,0.966,0.284,5.007333333333333,0.0831,0.014,0.313,-20.177,0.0408,116.412,0.121,9
124624,Classical,Dmitri Shostakovich,Jazz Suite No. 2: VI. Waltz No. 2,46,0.984,0.307,3.306,0.177,0.919,0.091,-18.838,0.0332,103.878,0.348,3
9407,Alternative,Summer Walker,Talk Yo Shit,45,0.823,0.633,0.65445,0.288,0.0,0.199,-11.147,0.5,79.536,0.727,2
228290,Soul,Jeff Floyd,I Found Love (On A Lonely Highway),39,0.0406,0.794,7.558883333333333,0.688,0.000187,0.271,-7.282,0.0447,102.088,0.567,5
193753,Soul,The Floaters,Float On - Single Version,49,0.255,0.59,4.252883333333333,0.718,5.86e-06,0.111,-8.536,0.0275,96.552,0.868,5
211258,Comedy,Tim Wilson,It's A Sorry World - Live,12,0.644,0.556,2.0393333333333334,0.918,0.0,0.674,-6.203,0.366,187.822,0.94,7
68550,Hip-Hop,Drake,Preach,63,0.208,0.563,3.94955,0.501,7.89e-05,0.104,-8.041,0.426,130.288,0.398,1
231328,Soul,"Earth, Wind & Fire",Got to Get You Into My Life,44,0.581,0.692,4.049783333333333,0.622,0.00201,0.147,-9.524,0.0758,140.357,0.767,5
140963,Indie,Harrison Storm,Be Yourself,53,0.851,0.588,4.167783333333333,0.271,0.105,0.108,-15.391,0.0365,135.122,0.113,2
44700,Folk,Matt Nathanson,Giants,47,0.0431,0.647,3.82,0.794,0.0,0.228,-4.631,0.0446,106.989,0.491,1
135729,Reggae,Steel Pulse,Steppin' Out - Extended Version,26,0.175,0.853,5.383116666666667,0.682,0.000959,0.555,-8.47,0.102,143.058,0.758,7
70669,Hip-Hop,Migos,Higher We Go - Intro,60,0.0737,0.815,4.26415,0.551,0.0,0.216,-4.048,0.0936,152.001,0.168,1
22117,Dance,Betty Who,Some Kinda Wonderful,42,0.00299,0.424,3.219116666666667,0.914,0.0,0.347,-3.723,0.527,103.168,0.507,7
139168,Reggaeton,Trebol Clan,Gata Fiera,70,0.286,0.756,3.4695,0.897,0.185,0.193,-5.396,0.0401,94.997,0.826,5
65363,Folk,Liz Phair,Supernova,41,0.000362,0.517,2.814,0.758,0.723,0.332,-10.457,0.0363,130.708,0.705,0
70642,Hip-Hop,Kid Cudi,Scott Mescudi Vs. The World,54,0.28,0.78,3.92155,0.72,0.597,0.132,-5.914,0.0278,108.686,0.583,0
157019,Ska,Star Fucking Hipsters,Ana Ng,38,0.0316,0.575,2.36,0.94,0.0,0.137,-5.197,0.133,90.133,0.77,5
152257,Pop,The Chainsmokers,Don't Let Me Down (feat. Daya),63,0.19,0.534,3.4777833333333334,0.868,0.00318,0.148,-5.057,0.206,159.757,0.406,6
51856,Blues,Taj Mahal,Coconut Man - Live,28,0.378,0.721,7.742666666666667,0.57,2.8e-06,0.678,-8.937,0.0999,109.212,0.843,7
129344,Classical,Jacques Offenbach,Les Contes d'Hoffmann / Act 1: Entr'acte,34,0.928,0.474,1.36955,0.247,0.924,0.277,-14.832,0.0425,100.085,0.537,3
174991,Comedy,Bobcat Goldthwait,Hunters Are Gay,15,0.93,0.539,2.81045,0.867,0.0,0.857,-5.542,0.937,103.03,0.398,4
151662,Pop,Ol' Dirty Bastard,Shimmy Shimmy Ya,66,0.097,0.814,2.69,0.481,3.83e-05,0.0495,-5.183,0.245,96.252,0.193,1
